2018-03-17 02:39:37,868 - Model_1 - INFO - start training model...
2018-03-17 02:40:21,122 - Model_1 - INFO - batch_round: 64, cost in this train batch=5.703056812286377
2018-03-17 02:40:21,669 - Model_1 - INFO - batch_round: 65, cost in this train batch=5.703912734985352
2018-03-17 02:40:22,217 - Model_1 - INFO - batch_round: 66, cost in this train batch=5.704174041748047
2018-03-17 02:40:22,773 - Model_1 - INFO - batch_round: 67, cost in this train batch=5.7040863037109375
2018-03-17 02:40:23,324 - Model_1 - INFO - batch_round: 68, cost in this train batch=5.703991889953613
2018-03-17 02:40:23,872 - Model_1 - INFO - batch_round: 69, cost in this train batch=5.703652381896973
2018-03-17 02:40:24,450 - Model_1 - INFO - batch_round: 70, cost in this train batch=5.703506946563721
2018-03-17 02:40:25,003 - Model_1 - INFO - batch_round: 71, cost in this train batch=5.703604221343994
2018-03-17 02:40:25,547 - Model_1 - INFO - batch_round: 72, cost in this train batch=5.704022407531738
2018-03-17 02:40:26,097 - Model_1 - INFO - batch_round: 73, cost in this train batch=5.703946113586426
2018-03-17 02:40:26,642 - Model_1 - INFO - batch_round: 74, cost in this train batch=5.703641414642334
2018-03-17 02:40:27,184 - Model_1 - INFO - batch_round: 75, cost in this train batch=5.703218460083008
2018-03-17 02:40:27,730 - Model_1 - INFO - batch_round: 76, cost in this train batch=5.704120635986328
2018-03-17 02:40:28,268 - Model_1 - INFO - batch_round: 77, cost in this train batch=5.703535556793213
2018-03-17 02:40:28,813 - Model_1 - INFO - batch_round: 78, cost in this train batch=5.703237533569336
2018-03-17 02:40:29,354 - Model_1 - INFO - batch_round: 79, cost in this train batch=5.704010009765625
2018-03-17 02:40:29,896 - Model_1 - INFO - batch_round: 80, cost in this train batch=5.703344345092773
2018-03-17 02:40:30,440 - Model_1 - INFO - batch_round: 81, cost in this train batch=5.703531265258789
2018-03-17 02:40:30,981 - Model_1 - INFO - batch_round: 82, cost in this train batch=5.7035651206970215
2018-03-17 02:40:31,533 - Model_1 - INFO - batch_round: 83, cost in this train batch=5.704281806945801
2018-03-17 02:40:32,096 - Model_1 - INFO - batch_round: 84, cost in this train batch=5.704352855682373
2018-03-17 02:40:32,651 - Model_1 - INFO - batch_round: 85, cost in this train batch=5.7043657302856445
2018-03-17 02:40:33,196 - Model_1 - INFO - batch_round: 86, cost in this train batch=5.703988075256348
2018-03-17 02:40:33,731 - Model_1 - INFO - batch_round: 87, cost in this train batch=5.704315662384033
2018-03-17 02:40:34,288 - Model_1 - INFO - batch_round: 88, cost in this train batch=5.703711032867432
2018-03-17 02:40:34,836 - Model_1 - INFO - batch_round: 89, cost in this train batch=5.703922748565674
2018-03-17 02:40:35,388 - Model_1 - INFO - batch_round: 90, cost in this train batch=5.704336166381836
2018-03-17 02:40:35,931 - Model_1 - INFO - batch_round: 91, cost in this train batch=5.703673839569092
2018-03-17 02:40:36,473 - Model_1 - INFO - batch_round: 92, cost in this train batch=5.703118324279785
2018-03-17 02:40:37,020 - Model_1 - INFO - batch_round: 93, cost in this train batch=5.704319953918457
2018-03-17 02:40:37,571 - Model_1 - INFO - batch_round: 94, cost in this train batch=5.704223155975342
2018-03-17 02:40:38,111 - Model_1 - INFO - batch_round: 95, cost in this train batch=5.703680515289307
2018-03-17 02:40:38,668 - Model_1 - INFO - batch_round: 96, cost in this train batch=5.703336715698242
2018-03-17 02:40:39,205 - Model_1 - INFO - batch_round: 97, cost in this train batch=5.703936576843262
2018-03-17 02:40:39,764 - Model_1 - INFO - batch_round: 98, cost in this train batch=5.703840732574463
2018-03-17 02:40:40,307 - Model_1 - INFO - batch_round: 99, cost in this train batch=5.7037835121154785
2018-03-17 02:40:40,851 - Model_1 - INFO - batch_round: 100, cost in this train batch=5.703523635864258
2018-03-17 02:40:41,917 - Model_1 - INFO - save weight
2018-03-17 02:40:42,448 - Model_1 - INFO - batch_round: 101, cost in this train batch=5.70449161529541
2018-03-17 02:40:42,977 - Model_1 - INFO - batch_round: 102, cost in this train batch=5.703587532043457
2018-03-17 02:40:43,508 - Model_1 - INFO - batch_round: 103, cost in this train batch=5.703619003295898
